1994 01 261919.0
1994 02 262123.0
1994 03 262352·0
1994 04 262631.0
1994 05 262877·0
1994 06 263152.0
1994 07 263436.0
1994 08 263724.0
1994 09 264017.0
1994 10 264301.0
1994 11 264559.0
1994 12 264804.0
1995 01 265044.0
1995 02 265270.0
1995 03 265495.0
1995 04 265755.0
1995 05 265998.0
1995 06 266270.0
1995 07 266557.0
1995 08 266843.0
1995 09 267152.0
1995 10 267456.0
1995 11 267715.0
1995 12 267943.0
1996 01 268151.0
1996 02 268364.0
1996 03 268595.0
1996 04 268853.0
1996 05 269108.0
1996 06 269386.0
1996 07 269667.0
1996 08 269976.0
1996 09 270284.0
1996 10 270581.0
1996 11 270878.0
1996 12 271125.0
1997 01 271360.0
1997 02 271585.0
1997 03 271821.0
1997 04 272083.0
1997 05 272342.0
1997 06 272622.0
1997 07 272912.0
1997 08 273237.0
1997 09 273553.0
1997 10 273852.0
1997 11 274126.0
1997 12 274372.0
1998 01 274626.0
1998 02 274838.0
1998 03 275047.0
1998 04 275304.0
1998 05 275564.0
1998 06 275836.0
1998 07 276115.0
1998 08 276418.0
1998 09 276714.0
1998 10 277003.0
1998 11 277277.0
1998 12 277526.0
1999 01 277790.0
1999 02 277992.0
1999 03 278198.0
1999 04 278451.0
1999 05 278717.0
1999 06 279001.0
1999 07 279295.0
1999 08 279602.0
1999 09 279903.0
1999 10 280203.0
1999 11 280471.0
1999 12 280716.0
2000 01 280976.0
2000 02 281190.0
2000 03 281409.0
2000 04 281653.0
2000 05 281877.0
2000 06 282126.0
2000 07 282385.0
2000 08 282649.0
2000 09 282925.0
2000 10 283190.0
2000 11 283439.0
2000 12 283678.0
2001 01 283900.0
2001 02 284113.0
2001 03 284322.0
2001 04 284550.0
2001 05 284775.0
2001 06 285023.0
2001 07 285267.0
2001 08 285526.0
2001 09 285795.0
2001 10 286047.0
2001 11 286288.0
2001 12 286513.0
2002 01 286728.0
2002 02 286931.0
2002 03 287125.0
2002 04 287328.0
2002 05 287552.0
2002 06 287789.0
2002 07 288028.0
2002 08 288279.0
2002 09 288535.0
2002 10 288783.0
2002 11 289016.0
2002 12 289220.0
2003 01 289421.0
2003 02 289614.0
2003 03 289808.0
2003 04 290019.0
2003 05 290237.0
2003 06 290471.0
2003 07 290704.0
2003 08 290953.0
2003 09 291199.0
2003 10 291449.0
2003 11 291679.0
2003 12 291877.0
2004 01 292057.0
2004 02 292230.0
2004 03 292420.0
2004 04 292635.0
2004 05 292850.0
2004 06 293072.0
2004 07 293310.0
2004 08 293562.0
2004 09 293811.0
2004 10 294066.0
2004 11 294300.0
2004 12 294524.0
2005 01 294741.0
2005 02 294928.0
2005 03 295107.0
2005 04 295308.0
2005 05 295518.0
2005 06 295747.0
2005 07 295994.0
2005 08 296244.0
2005 09 296508.0
2005 10 296770.0
2005 11 297001.0
2005 12 297223.0
2006 01 297435.0
2006 02 297640.0
2006 03 297842.0
2006 04 298061.0
2006 05 298273.0
2006 06 298512.0
2006 07 298766.0
2006 08 299029.0
2006 09 299316.0
2006 10 299593.0
2006 11 299848.0
2006 12 300089.0
2007 01 300320.0
2007 02 300535.0
2007 03 300748.0
2007 04 300977.0
2007 05 301200.0
2007 06 301450.0
2007 07 301714.0
2007 08 301967.0
2007 09 302244.0
2007 10 302509.0
2007 11 302754.0
2007 12 302984.0
2008 01 303204.0
2008 02 303399.0
2008 03 303593.0
2008 04 303803.0
2008 05 304006.0
2008 06 304236.0
2008 07 304483.0
2008 08 304733.0
2008 09 305006.0
2008 10 305270.0
2008 11 305510.0
2008 12 305737.0
2009 01 305952.0
2009 02 306146.0
2009 03 306339.0
2009 04 306547.0
2009 05 306749.0
2009 06 306980.0
2009 07 307226.0
2009 08 307476.0
2009 09 307750.0
2009 10 308013.0
